[17:57:21] [INFO] received Windows console close event; shutting log-core down
[17:58:30] [INFO] received Windows console close event; shutting log-core down
[13:02:15] [INFO] received Windows console close event; shutting log-core down
[16:57:54] [INFO] received Windows console close event; shutting log-core down
[17:03:12] [INFO] received Windows console close event; shutting log-core down
[17:04:39] [INFO] received Windows console close event; shutting log-core down
[17:05:22] [INFO] received Windows console close event; shutting log-core down
[17:05:53] [INFO] received Windows console close event; shutting log-core down
[17:07:53] [INFO] received Windows console close event; shutting log-core down
[17:08:16] [INFO] received Windows console close event; shutting log-core down
[22:44:05] [INFO] received Windows console close event; shutting log-core down
[22:49:44] [INFO] received Windows console close event; shutting log-core down
[16:19:37] [INFO] received Windows console close event; shutting log-core down
[16:22:21] [INFO] received Windows console close event; shutting log-core down
[17:20:36] [INFO] received Windows console close event; shutting log-core down
[17:20:41] [INFO] received Windows console close event; shutting log-core down
[17:22:50] [INFO] received Windows console close event; shutting log-core down
[17:27:10] [INFO] received Windows console close event; shutting log-core down
[17:32:17] [INFO] received Windows console close event; shutting log-core down
[17:37:22] [INFO] received Windows console close event; shutting log-core down
[17:39:47] [INFO] received Windows console close event; shutting log-core down
[17:46:43] [INFO] received Windows console close event; shutting log-core down
[13:37:43] [INFO] received Windows console close event; shutting log-core down
[13:44:00] [INFO] received Windows console close event; shutting log-core down
[13:46:24] [INFO] received Windows console close event; shutting log-core down
[13:48:01] [INFO] received Windows console close event; shutting log-core down
[13:48:48] [INFO] received Windows console close event; shutting log-core down
[13:49:06] [INFO] received Windows console close event; shutting log-core down
[14:15:49] [INFO] received Windows console close event; shutting log-core down
[14:16:09] [INFO] received Windows console close event; shutting log-core down
[14:18:02] [INFO] received Windows console close event; shutting log-core down
[14:21:19] [INFO] received Windows console close event; shutting log-core down
[14:22:27] [INFO] received Windows console close event; shutting log-core down
[18:39:22] [INFO] received Windows console close event; shutting log-core down
[18:48:35] [INFO] received Windows console close event; shutting log-core down
[18:49:44] [INFO] received Windows console close event; shutting log-core down
[18:50:41] [INFO] received Windows console close event; shutting log-core down
[18:59:53] [INFO] received Windows console close event; shutting log-core down
[19:03:57] [INFO] received Windows console close event; shutting log-core down
[19:11:48] [INFO] received Windows console close event; shutting log-core down
[19:15:48] [INFO] received Windows console close event; shutting log-core down
[19:18:43] [INFO] received Windows console close event; shutting log-core down
[19:20:46] [INFO] received Windows console close event; shutting log-core down
[13:17:16] [INFO] received Windows console close event; shutting log-core down
[17:29:52] [INFO] received Windows console close event; shutting log-core down
[18:05:35] [INFO] received Windows console close event; shutting log-core down
[18:34:37] [INFO] received Windows console close event; shutting log-core down
[19:37:08] [INFO] received Windows console close event; shutting log-core down
[20:13:29] [INFO] received Windows console close event; shutting log-core down
[20:15:58] [INFO] received Windows console close event; shutting log-core down
[20:17:44] [INFO] received Windows console close event; shutting log-core down
[20:24:38] [INFO] received Windows console close event; shutting log-core down
[19:52:00] [INFO] received Windows console close event; shutting log-core down
[19:56:57] [INFO] received Windows console close event; shutting log-core down
[20:21:35] [INFO] received Windows console close event; shutting log-core down
[22:19:14] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[22:19:14] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[22:19:14] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[22:19:14] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[22:19:14] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[22:19:14] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[22:19:14] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[22:19:14] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[22:19:14] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[22:19:14] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[22:19:14] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[22:19:14] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[22:19:14] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[22:19:14] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
